Looking_Up_Qualities(ms),Finding_Proof(ms),Total_Time(ms)
81,15,96
5,10,15
0,10,10
3,8,11
0,8,8
2,7,9
6,8,14
0,7,7
1,6,7
5,10,15
5,10,15
0,10,10
2,7,9
1,6,7
1,6,7
3,8,11
2,7,9
4,7,11
4,10,14
1,6,7
2,6,8
3,6,9
0,7,7
0,7,7
2,7,9
0,6,6
2,6,8
0,7,7
6,9,15
4,10,14
0,9,9
3,6,9
0,7,7
3,6,9
4,9,13
7,11,18
0,10,10
0,10,10
3,7,10
5,9,14
3,8,11
0,7,7
0,8,8
1,6,7
2,7,9
5,8,13
0,10,10
4,8,12
0,8,8
4,8,12
0,7,7
0,7,7
1,5,6
0,5,5
2,6,8
0,6,6
1,6,7
5,10,15
1,6,7
2,6,8
6,10,16
4,8,12
0,8,8
1,5,6
3,7,10
3,7,10
0,8,8
6,10,16
0,9,9
4,9,13
5,9,14
0,8,8
0,8,8
0,8,8
4,10,14
3,7,10
4,9,13
3,7,10
2,5,7
0,5,5
2,6,8
0,5,5
0,6,6
3,8,11
0,8,8
