K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,4.659,0.000,7.970,0.000,12.629
26,262144,7.863,0.000,15.825,0.000,23.689
27,262144,16.922,0.000,32.425,0.000,49.347
28,262144,33.748,0.000,67.471,0.000,101.219
29,262144,62.250,0.000,123.582,0.000,185.831
30,262144,163.752,0.000,178.514,0.000,342.266
31,262144,558.035,0.000,121.904,0.000,679.939
32,262144,1344.066,0.000,24.470,0.000,1368.536
33,262144,2588.970,0.007,0.000,0.000,2588.978
34,262144,5080.604,8481.849,327.853,0.000,13890.306
35,262144,9743.323,15485.446,277.740,0.000,25506.508